ID_MUN,NME_MUN,ANO,NME_COMB,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
3101,AMPARO DE SAO FRANCISCO,2018,ÁLCOOL,8,8,8,8,8,8,8,8,8,8,0,0
3101,AMPARO DE SAO FRANCISCO,2018,GASOLINA,232,233,233,235,236,234,234,234,232,233,0,0
3101,AMPARO DE SAO FRANCISCO,2018,DIESEL,32,33,34,34,34,34,34,34,34,34,0,0
3101,AMPARO DE SAO FRANCISCO,2018,GASOGÊNIO,0,0,0,0,0,0,0,0,0,0,0,0
3101,AMPARO DE SAO FRANCISCO,2018,GÁS METANO,0,0,0,0,0,0,0,0,0,0,0,0
3101,AMPARO DE SAO FRANCISCO,2018,ELT FT INT,0,0,0,0,0,0,0,0,0,0,0,0
3101,AMPARO DE SAO FRANCISCO,2018,ELT FT EXT,0,0,0,0,0,0,0,0,0,0,0,0
3101,AMPARO DE SAO FRANCISCO,2018,ÁLCOOL/GNV,1,1,1,1,1,1,1,1,1,1,0,0
3101,AMPARO DE SAO FRANCISCO,2018,GASOLINA/GNV,3,3,3,3,3,3,3,3,3,3,0,0
3101,AMPARO DE SAO FRANCISCO,2018,DIESEL/GNV,0,0,0,0,0,0,0,0,0,0,0,0
3101,AMPARO DE SAO FRANCISCO,2018,GNV,0,0,0,0,0,0,0,0,0,0,0,0
3101,AMPARO DE SAO FRANCISCO,2018,ÁLCOOL/GASOLINA,180,183,185,187,186,190,188,189,190,189,0,0
3101,AMPARO DE SAO FRANCISCO,2018,GAS/ALC/GN,2,2,2,2,2,2,2,2,2,2,0,0
3101,AMPARO DE SAO FRANCISCO,2018,GASO/ELET,0,0,0,0,0,0,0,0,0,0,0,0
3101,AMPARO DE SAO FRANCISCO,2018,SEM COMBUSTIVEL,1,1,1,1,1,1,1,1,1,1,0,0
3103,AQUIDABA,2018,ÁLCOOL,114,114,114,114,114,114,114,114,114,114,0,0
3103,AQUIDABA,2018,GASOLINA,2592,2601,2607,2605,2607,2617,2629,2630,2631,2627,0,0
3103,AQUIDABA,2018,DIESEL,301,297,301,304,304,307,303,305,307,303,0,0
3103,AQUIDABA,2018,GASOGÊNIO,0,0,0,0,0,0,0,0,0,0,0,0
3103,AQUIDABA,2018,GÁS METANO,0,0,0,0,0,0,0,0,0,0,0,0
3103,AQUIDABA,2018,ELT FT INT,0,0,0,0,0,0,0,0,0,0,0,0
3103,AQUIDABA,2018,ELT FT EXT,0,0,0,0,0,0,0,0,0,0,0,0
3103,AQUIDABA,2018,ÁLCOOL/GNV,4,4,4,4,4,4,4,4,4,4,0,0
3103,AQUIDABA,2018,GASOLINA/GNV,24,25,25,24,24,25,25,25,24,24,0,0
3103,AQUIDABA,2018,DIESEL/GNV,0,0,0,0,0,0,0,0,0,0,0,0
3103,AQUIDABA,2018,GNV,0,0,0,0,0,0,0,0,0,0,0,0
3103,AQUIDABA,2018,ÁLCOOL/GASOLINA,1789,1799,1806,1815,1821,1827,1835,1846,1858,1885,0,0
3103,AQUIDABA,2018,GAS/ALC/GN,16,16,16,16,18,19,19,20,21,21,0,0
3103,AQUIDABA,2018,GASO/ELET,0,0,0,0,0,0,0,0,0,0,0,0
3103,AQUIDABA,2018,SEM COMBUSTIVEL,77,76,75,78,76,78,78,79,80,80,0,0
3107,ARAUA,2018,ÁLCOOL,54,54,54,54,54,54,54,55,54,54,0,0
3107,ARAUA,2018,GASOLINA,1222,1225,1224,1224,1223,1223,1223,1219,1217,1215,0,0
3107,ARAUA,2018,DIESEL,128,130,130,131,135,137,137,136,136,136,0,0
3107,ARAUA,2018,GASOGÊNIO,0,0,0,0,0,0,0,0,0,0,0,0
3107,ARAUA,2018,GÁS METANO,0,0,0,0,0,0,0,0,0,0,0,0
3107,ARAUA,2018,ELT FT INT,0,0,0,0,0,0,0,0,0,0,0,0
3107,ARAUA,2018,ELT FT EXT,0,0,0,0,0,0,0,0,0,0,0,0
3107,ARAUA,2018,ÁLCOOL/GNV,7,7,7,7,7,7,7,7,7,7,0,0
3107,ARAUA,2018,GASOLINA/GNV,68,68,68,66,67,66,65,65,65,64,0,0
3107,ARAUA,2018,DIESEL/GNV,0,0,0,0,0,0,0,0,0,0,0,0
3107,ARAUA,2018,GNV,0,0,0,0,0,0,0,0,0,0,0,0
3107,ARAUA,2018,ÁLCOOL/GASOLINA,601,600,603,611,614,622,629,635,638,648,0,0
3107,ARAUA,2018,GAS/ALC/GN,29,28,26,25,25,23,23,22,22,22,0,0
3107,ARAUA,2018,GASO/ELET,0,0,0,0,0,0,0,0,0,0,0,0
3107,ARAUA,2018,SEM COMBUSTIVEL,41,41,41,41,41,42,41,41,41,41,0,0
3105,ARACAJU,2018,ÁLCOOL,9058,9054,9054,9053,9053,9058,9055,9054,9052,9046,0,0
3105,ARACAJU,2018,GASOLINA,109966,109903,109880,109943,109994,109978,109988,110045,110013,110025,0,0
3105,ARACAJU,2018,DIESEL,21047,21087,21118,21136,21169,21199,21232,21303,21334,21412,0,0
3105,ARACAJU,2018,GASOGÊNIO,3,3,3,3,3,3,3,3,3,3,0,0
3105,ARACAJU,2018,GÁS METANO,7,7,7,7,7,7,7,7,7,7,0,0
3105,ARACAJU,2018,ELT FT INT,0,0,0,0,0,0,0,0,0,0,0,0
3105,ARACAJU,2018,ELT FT EXT,0,0,0,0,0,0,0,0,0,0,0,0
3105,ARACAJU,2018,ÁLCOOL/GNV,671,670,667,664,663,663,661,661,660,659,0,0
3105,ARACAJU,2018,GASOLINA/GNV,5904,5896,5883,5865,5849,5855,5845,5832,5810,5790,0,0
3105,ARACAJU,2018,DIESEL/GNV,0,0,0,0,0,0,0,0,0,0,0,0
3105,ARACAJU,2018,GNV,4,4,4,4,4,4,3,3,3,3,0,0
3105,ARACAJU,2018,ÁLCOOL/GASOLINA,137272,137480,137866,138288,138641,138958,139457,140031,140521,141206,0,0
3105,ARACAJU,2018,GAS/ALC/GN,4273,4306,4353,4419,4461,4521,4570,4607,4635,4684,0,0
3105,ARACAJU,2018,GASO/ELET,42,42,42,46,47,50,48,50,52,55,0,0
3105,ARACAJU,2018,SEM COMBUSTIVEL,10527,10563,10582,10629,10658,10680,10703,10728,10754,10778,0,0
3111,BARRA DOS COQUEIROS,2018,ÁLCOOL,95,95,95,95,95,95,95,95,94,94,0,0
3111,BARRA DOS COQUEIROS,2018,GASOLINA,2513,2524,2515,2525,2546,2569,2574,2586,2584,2597,0,0
3111,BARRA DOS COQUEIROS,2018,DIESEL,330,330,336,337,348,353,357,357,360,370,0,0
3111,BARRA DOS COQUEIROS,2018,GASOGÊNIO,0,0,0,0,0,0,0,0,0,0,0,0
3111,BARRA DOS COQUEIROS,2018,GÁS METANO,0,0,0,0,0,0,0,0,0,0,0,0
3111,BARRA DOS COQUEIROS,2018,ELT FT INT,0,0,0,0,0,0,0,0,0,0,0,0
3111,BARRA DOS COQUEIROS,2018,ELT FT EXT,0,0,0,0,0,0,0,0,0,0,0,0
3111,BARRA DOS COQUEIROS,2018,ÁLCOOL/GNV,7,7,7,7,8,8,8,8,8,8,0,0
3111,BARRA DOS COQUEIROS,2018,GASOLINA/GNV,135,135,136,138,137,137,136,138,139,141,0,0
3111,BARRA DOS COQUEIROS,2018,DIESEL/GNV,0,0,0,0,0,0,0,0,0,0,0,0
3111,BARRA DOS COQUEIROS,2018,GNV,0,0,0,0,0,0,0,0,0,0,0,0
3111,BARRA DOS COQUEIROS,2018,ÁLCOOL/GASOLINA,3016,3040,3092,3106,3137,3173,3200,3247,3281,3314,0,0
3111,BARRA DOS COQUEIROS,2018,GAS/ALC/GN,324,325,330,334,341,335,337,339,336,338,0,0
3111,BARRA DOS COQUEIROS,2018,GASO/ELET,0,0,0,0,0,0,0,0,0,1,0,0
3111,BARRA DOS COQUEIROS,2018,SEM COMBUSTIVEL,274,276,282,285,287,292,294,299,301,305,0,0
3109,AREIA BRANCA,2018,ÁLCOOL,87,87,87,87,87,87,87,87,87,87,0,0
3109,AREIA BRANCA,2018,GASOLINA,1885,1891,1896,1911,1912,1912,1916,1917,1922,1928,0,0
3109,AREIA BRANCA,2018,DIESEL,304,305,301,304,305,304,298,295,298,300,0,0
3109,AREIA BRANCA,2018,GASOGÊNIO,0,0,0,0,0,0,0,0,0,0,0,0
3109,AREIA BRANCA,2018,GÁS METANO,0,0,0,0,0,0,0,0,0,0,0,0
3109,AREIA BRANCA,2018,ELT FT INT,0,0,0,0,0,0,0,0,0,0,0,0
3109,AREIA BRANCA,2018,ELT FT EXT,0,0,0,0,0,0,0,0,0,0,0,0
3109,AREIA BRANCA,2018,ÁLCOOL/GNV,20,20,20,20,20,20,20,20,20,20,0,0
3109,AREIA BRANCA,2018,GASOLINA/GNV,93,94,94,95,95,96,96,96,97,95,0,0
3109,AREIA BRANCA,2018,DIESEL/GNV,0,0,0,0,0,0,0,0,0,0,0,0
3109,AREIA BRANCA,2018,GNV,0,0,0,0,0,0,0,0,0,0,0,0
3109,AREIA BRANCA,2018,ÁLCOOL/GASOLINA,1393,1403,1419,1434,1462,1486,1486,1503,1510,1511,0,0
3109,AREIA BRANCA,2018,GAS/ALC/GN,70,69,67,68,68,67,69,69,69,69,0,0
3109,AREIA BRANCA,2018,GASO/ELET,0,0,0,0,0,0,0,0,0,0,0,0
3109,AREIA BRANCA,2018,SEM COMBUSTIVEL,108,108,108,112,114,118,117,120,122,124,0,0
3113,BREJO GRANDE,2018,ÁLCOOL,11,11,11,11,11,11,11,11,11,11,0,0
3113,BREJO GRANDE,2018,GASOLINA,269,269,270,272,275,276,279,280,280,282,0,0
3113,BREJO GRANDE,2018,DIESEL,31,32,32,33,33,34,34,34,34,36,0,0
3113,BREJO GRANDE,2018,GASOGÊNIO,0,0,0,0,0,0,0,0,0,0,0,0
3113,BREJO GRANDE,2018,GÁS METANO,0,0,0,0,0,0,0,0,0,0,0,0
3113,BREJO GRANDE,2018,ELT FT INT,0,0,0,0,0,0,0,0,0,0,0,0
3113,BREJO GRANDE,2018,ELT FT EXT,0,0,0,0,0,0,0,0,0,0,0,0
3113,BREJO GRANDE,2018,ÁLCOOL/GNV,2,2,2,2,2,2,2,2,2,2,0,0
3113,BREJO GRANDE,2018,GASOLINA/GNV,1,1,1,1,1,1,1,1,1,1,0,0
3113,BREJO GRANDE,2018,DIESEL/GNV,0,0,0,0,0,0,0,0,0,0,0,0
3113,BREJO GRANDE,2018,GNV,0,0,0,0,0,0,0,0,0,0,0,0
3113,BREJO GRANDE,2018,ÁLCOOL/GASOLINA,300,300,304,315,321,323,321,321,325,327,0,0
3113,BREJO GRANDE,2018,GAS/ALC/GN,6,6,5,5,5,5,5,5,5,5,0,0
3113,BREJO GRANDE,2018,GASO/ELET,0,0,0,0,0,0,0,0,0,0,0,0
3113,BREJO GRANDE,2018,SEM COMBUSTIVEL,20,20,20,20,20,20,21,22,23,23,0,0
3115,BOQUIM,2018,ÁLCOOL,187,187,187,187,187,186,188,188,188,188,0,0
3115,BOQUIM,2018,GASOLINA,4901,4896,4898,4896,4895,4899,4909,4918,4930,4926,0,0
